"item-layout_itemLink__CZZ7w href","item-image_img__ki7ke src","text-tag_textTag__mQeO_","gradient-bg-caption_gradientBgCaption__dsYoN","price-and-extra_startFrom__fVS2L","price_price__xQt90","item-data-content_heading__tphH4","item-data-content_itemInfoLine__AeoPP","item-data-content_itemInfoLine__AeoPP 2","item-tags_itemTagsBox__Uz23E","item-tags_itemTagsBox__Uz23E 2","tooltip_tooltip__w2sbB","item-tags_itemTagsBox__Uz23E 3"
"https://www.yad2.co.il/realestate/item/zr0kq60q?opened-from=feed&component-type=main_feed&spot=standard&location=33&pagination=7","https://img.yad2.co.il/Pic/202407/10/2_5/o/y2_1pa_997727_20240710144654.jpeg?w=3840&h=3840&c=9","","מייקיז נדל""ן","מייקיז נדל""ן","4,490,000 ₪","מעון 5","דירה, פלורנטין, תל אביב יפו","3 חדרים • קומה ‎6‏ • 85 מ״ר","ממ""ד","חניה","המודעה נשמרה","נכס חדש"
"https://www.yad2.co.il/realestate/item/emfedx7z?opened-from=feed&component-type=main_feed&spot=standard&location=34&pagination=7","https://img.yad2.co.il/Pic/202405/05/2_5/o/y2_1_fuvZQDSIe7_20240505.jpg?w=3840&h=3840&c=9","","הבית הלבן - White House Realty","הבית הלבן - White House Realty","8,200,000 ₪","דירה","דירה, תל אביב יפו","3 חדרים • קומה ‎3‏ • 120 מ״ר","חניה","נכס חדש","המודעה נשמרה","בהזדמנות"
"https://www.yad2.co.il/realestate/item/e4z5g5o2?opened-from=feed&component-type=main_feed&spot=standard&location=35&pagination=7","https://img.yad2.co.il/Pic/202410/14/2_5/o/y2_1pa_010517_20241014152502.jpeg?w=3840&h=3840&c=9","","MONROV נכסים","MONROV נכסים","4,250,000 ₪","יעקב מוזר","דירה, הצפון החדש - כיכר המדינה, תל אביב יפו","3 חדרים • קומה ‎2‏ • 70 מ״ר","ממ""ד","בניין משופץ","המודעה נשמרה","בהזדמנות"
"https://www.yad2.co.il/realestate/item/m76chwy8?opened-from=feed&component-type=main_feed&spot=standard&location=36&pagination=7","https://img.yad2.co.il/Pic/202303/20/2_5/o/y2_1_eUhdRwLJTV_20230320.jpg?w=3840&h=3840&c=9","","Moment-שיווק נכסים","Moment-שיווק נכסים","3,950,000 ₪","צמרות איילון, פארק צמרת","דירה, צמרות איילון, פארק צמרת, תל אביב יפו","3 חדרים • קומה ‎12‏ • 77 מ״ר","ממ""ד","חניה","המודעה נשמרה","נכס חדש"
"https://www.yad2.co.il/realestate/item/z2eov4j1?opened-from=feed&component-type=main_feed&spot=standard&location=37&pagination=7","https://img.yad2.co.il/Pic/202405/12/2_5/o/y2_1pa_010288_20240512115606.jpeg?w=3840&h=3840&c=9","","נדל""ן גזית","נדל""ן גזית","2,600,000 ₪","יהודה הימית","דירה, תל אביב יפו","3 חדרים • קומה ‎קרקע‏ • 80 מ״ר","קרוב לים","חבל לפספס","המודעה נשמרה","בהזדמנות"
"","","","","","","","","","","","",""
"https://www.yad2.co.il/realestate/item/8py4gwmn?opened-from=feed&component-type=main_feed&spot=standard&location=38&pagination=7","https://img.yad2.co.il/Pic/202403/14/2_5/o/y2_1pa_010562_20240314193802.jpeg?w=3840&h=3840&c=9","","אייל ארליך Tel Aviv Realty","אייל ארליך Tel Aviv Realty","4,590,000 ₪","שדרות רוטשילד","דירה, לב תל אביב, לב העיר צפון, תל אביב יפו","3 חדרים • קומה ‎1‏ • 88 מ״ר","ייחודי","חבל לפספס","המודעה נשמרה","בהזדמנות"
"https://www.yad2.co.il/realestate/item/vvvnk92d?opened-from=feed&component-type=main_feed&spot=standard&location=39&pagination=7","https://img.yad2.co.il/Pic/202406/17/2_5/o/y2_1_SHWYYZW_IU_20240617.jpeg?w=3840&h=3840&c=9","","עזרא-נכסים","עזרא-נכסים","3,720,000 ₪","הזוהר","דירה, בבלי, תל אביב יפו","3 חדרים • קומה ‎2‏ • 71 מ״ר","חניה","חבל לפספס","המודעה נשמרה","בהזדמנות"
"https://www.yad2.co.il/realestate/item/x53181p6?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=7","https://img.yad2.co.il/Pic/202407/08/2_5/o/y2_1pa_010626_20240708080306.jpeg?w=3840&h=3840&c=9","","Profiglio","Profiglio","3,850,000 ₪","שמעון בן שטח 6","דירה, תל אביב יפו","3 חדרים • קומה ‎1‏ • 65 מ״ר","ממ""ד","חניה","המודעה נשמרה","נכס חדש"
"https://www.yad2.co.il/realestate/item/da2r1m1u?opened-from=feed&component-type=main_feed&spot=standard&location=41&pagination=7","https://img.yad2.co.il/Pic/202409/11/2_5/o/y2_1pa_010288_20240911131938.jpeg?w=3840&h=3840&c=9","בלעדי","פולטוב נכסים","פולטוב נכסים","2,250,000 ₪","שקד 30","דירה, נווה עופר, תל כביר, תל אביב יפו","3 חדרים • קומה ‎2‏ • 67 מ״ר","קרוב לפארק","בהזדמנות","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/9r8awyva?opened-from=feed&component-type=main_feed&spot=standard&location=42&pagination=7","https://img.yad2.co.il/Pic/202406/16/2_5/o/y2_1pa_010672_20240616154852.jpeg?w=3840&h=3840&c=9","","הילה נכסים","הילה נכסים","4,900,000 ₪","אברהם בויאר","דירה, תל אביב יפו","3 חדרים • קומה ‎7‏ • 90 מ״ר","ממ""ד","חניה","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/cjceemmv?opened-from=feed&component-type=main_feed&spot=standard&location=43&pagination=7","https://img.yad2.co.il/Pic/202312/26/2_5/o/y2_1pa_991347_20231226165627.jpeg?w=3840&h=3840&c=9","","VALOR נכסים והשקעות בנדל'ן","VALOR נכסים והשקעות בנדל'ן","3,430,000 ₪","דירה","דירה, תל אביב יפו","3 חדרים • קומה ‎17‏ • 100 מ״ר","ממ""ד","חניה","המודעה נשמרה",""
"https://www.yad2.co.il/realestate/item/itte37nw?opened-from=feed&component-type=main_feed&spot=standard&location=44&pagination=7","https://img.yad2.co.il/Pic/202406/23/2_5/o/y2_1pa_010289_20240623143522.jpeg?w=3840&h=3840&c=9","","סנטר נכסים","סנטר נכסים","4,250,000 ₪","נחום סוקולוב","דירה, הצפון הישן - צפון, תל אביב יפו","3 חדרים • קומה ‎2‏ • 68 מ״ר","אחריי להתחדשות עירונית","משופצת אדריכלית","המודעה נשמרה",""
