"item-layout_itemLink__CZZ7w href","item-image_img__ki7ke src","gradient-bg-caption_gradientBgCaption__dsYoN","price-and-extra_startFrom__fVS2L","price_price__xQt90","item-data-content_heading__tphH4","item-data-content_itemInfoLine__AeoPP","item-data-content_itemInfoLine__AeoPP 2","tooltip_tooltip__w2sbB","text-tag_textTag__mQeO_","item-tags_itemTagsBox__Uz23E","item-tags_itemTagsBox__Uz23E 2","item-tags_itemTagsBox__Uz23E 3"
"https://www.yad2.co.il/realestate/item/j6a5zhw6?opened-from=feed&component-type=main_feed&spot=standard&location=36","https://img.yad2.co.il/Pic/202407/17/2_5/o/y2_1_NuDn0UjL1K_20240717.jpeg?w=3840&h=3840&c=9","RICH נדל""ן","RICH נדל""ן","3,550,000 ₪","שלדג","דו משפחתי, קרית אתא","6 חדרים • קומה ‎קרקע‏ • 280 מ״ר","המודעה נשמרה","","ממ""ד","חניה","נכס חדש"
"https://www.yad2.co.il/realestate/item/go1wia3i?opened-from=feed&component-type=main_feed&spot=standard&location=37","https://img.yad2.co.il/Pic/202409/27/2_5/o/y2_1_GK63V1OzOO_20240927.jpeg?w=3840&h=3840&c=9","תיווך אקספרס","תיווך אקספרס","1,600,000 ₪","מגרשים","מגרשים, להבים","קומה ‎קרקע‏ • 350 מ״ר","המודעה נשמרה","","ייחודי","חבל לפספס","בהזדמנות"
"https://www.yad2.co.il/realestate/item/fljn0tpb?opened-from=feed&component-type=main_feed&spot=standard&location=38","https://img.yad2.co.il/Pic/202406/19/2_5/o/y2_1pa_010555_20240619151557.jpeg?w=3840&h=3840&c=9","א.ג.ש נכסים","א.ג.ש נכסים","3,500,000 ₪","קהילת לודז' 44","דירה, הדר יוסף, תל אביב יפו","3 חדרים • קומה ‎3‏ • 82 מ״ר","המודעה נשמרה","ירד ב-190,000 ₪","ממ""ד","חניה","נכס חדש"
"https://www.yad2.co.il/realestate/item/ygd8dzqq?opened-from=feed&component-type=main_feed&spot=standard&location=39","https://img.yad2.co.il/Pic/202408/22/2_5/o/y2_1_997893_20240822.jpeg?w=3840&h=3840&c=9","new point-נדל""ן","new point-נדל""ן","2,490,000 ₪","עלייה 4","דירה, מרכז מזרחי, נס ציונה","4 חדרים • קומה ‎4‏ • 116 מ״ר","המודעה נשמרה","","ממ""ד","חבל לפספס","בהזדמנות"
"https://www.yad2.co.il/realestate/item/m3671q32?opened-from=feed&component-type=main_feed&spot=standard&location=40","https://img.yad2.co.il/Pic/202410/31/2_5/o/y2_1pa_010980_20241031094510.jpeg?w=3840&h=3840&c=9","תיווך נינווה","תיווך נינווה","8,900,000 ₪","דו משפחתי","דו משפחתי, תל אביב יפו","6 חדרים • קומה ‎קרקע‏ • 230 מ״ר","המודעה נשמרה","בלעדי","ממ""ד","חניה","בהזדמנות"
"https://www.yad2.co.il/realestate/item/92l3o5n5?opened-from=feed&component-type=main_feed&spot=standard&location=41","https://img.yad2.co.il/Pic/202408/22/2_5/o/y2_1pa_010503_20240822105807.jpeg?w=3840&h=3840&c=9","עופר & דניאלה נדל""ן בליווי אישי","עופר & דניאלה נדל""ן בליווי אישי","5,250,000 ₪","נתן אלתרמן","דירה, הרצליה","5 חדרים • קומה ‎8‏ • 126 מ״ר","המודעה נשמרה","בלעדי","ממ""ד","חניה","נכס חדש"
"https://www.yad2.co.il/realestate/item/fegf8w41?opened-from=feed&component-type=main_feed&spot=standard&location=42","https://img.yad2.co.il/Pic/202403/12/2_5/o/y2_1pa_010072_20240312175212.jpeg?w=3840&h=3840&c=9","אפיקי מרום","אפיקי מרום","3,850,000 ₪","החשמונאים","דירת גן, רמת גן","4 חדרים • קומה ‎קרקע‏ • 144 מ״ר","המודעה נשמרה","","ממ""ד","חניה","נכס חדש"
"https://www.yad2.co.il/realestate/item/9f43cb5x?opened-from=feed&component-type=main_feed&spot=standard&location=43","https://img.yad2.co.il/Pic/202410/14/2_5/o/y2_4_3c5BWxabS1_20241014.jpg?w=3840&h=3840&c=9","איריס כהן -קלר וויליאמס צפון תל אביב","איריס כהן -קלר וויליאמס צפון תל אביב","6,500,000 ₪","הגוש הגדול, רמת אביב החדשה, נופי ים","דירה, הגוש הגדול, רמת אביב החדשה, נופי ים, תל אביב יפו","5 חדרים • קומה ‎5‏ • 134 מ״ר","המודעה נשמרה","","ממ""ד","חניה","מטבח גדול"
"","","20/80 ועם פטור מהצמדה למדד","","","","","","המודעה נשמרה","מבצע","","",""
"","","20% בחתימה והיתרה באכלוס!","החל מ-","3,190,000 ₪","","","","המודעה נשמרה","פרויקט חדש","","",""
"https://www.yad2.co.il/item/2_98_8616?site=_inres_x1_l_15303_o_ws_ListingPro_23560","https://pics.yad2.co.il/Pics/2023/07/20230719105700403-s.jpg","","","","","","","המודעה נשמרה","מבצע","","",""
"https://www.yad2.co.il/item/2_98_10921?site=_inres_x1_l_15304_o_ws_ListingPro_24098","https://pics.yad2.co.il/Pics/2024/11/20241105110803347-s.jpg","","","","","","","המודעה נשמרה","מבצע","","",""
"https://www.yad2.co.il/item/2_98_9719?site=_inres_x1_l_15305_o_ws_ListingPro_10445","https://pics.yad2.co.il/Pics/2024/04/20240414173634832-s.jpg","","","","","","","המודעה נשמרה","מבצע","","",""
"https://www.yad2.co.il/item/2_98_10392?site=_inres_x1_l_15306_o_ws_ListingPro_13895","https://pics.yad2.co.il/Pics/2024/09/20240924162508818-s.jpg","","","","","","","המודעה נשמרה","מבצע","","",""
"https://www.yad2.co.il/item/2_98_10863?site=_inres_x1_l_16307_o_ws_ListingBasic_14192","https://pics.yad2.co.il/Pics/2024/11/20241104144951527-s.jpg","","","","","","","המודעה נשמרה","פרויקט חדש","","",""
"https://www.yad2.co.il/item/2_98_8287?site=_inres_x1_l_16308_o_ws_ListingBasic_20692","https://pics.yad2.co.il/Pics/2023/04/20230418164551835-s.jpg","","","","","","","המודעה נשמרה","מבצע","","",""
"https://www.yad2.co.il/item/2_98_10597?site=_inres_x1_l_16309_o_ws_ListingBasic_15522","https://pics.yad2.co.il/Pics/2024/08/20240828092409526-s.jpeg","","","","","","","המודעה נשמרה","פרויקט חדש","","",""
"https://www.yad2.co.il/item/2_98_7766?site=_inres_x1_l_16310_o_ws_ListingBasic_15592","https://pics.yad2.co.il/Pics/2021/04/20210418140147889-s.jpg","","החל מ-","2,250,000 ₪","","","","המודעה נשמרה","פרויקט חדש","","",""
