"item-layout_itemLink__CZZ7w href","item-image_img__ki7ke src","gradient-bg-caption_gradientBgCaption__dsYoN","price-and-extra_startFrom__fVS2L","price_price__xQt90","item-data-content_heading__tphH4","item-data-content_itemInfoLine__AeoPP","item-data-content_itemInfoLine__AeoPP 2","tooltip_tooltip__w2sbB","item-tags_itemTagsBox__Uz23E","item-tags_itemTagsBox__Uz23E 2","item-tags_itemTagsBox__Uz23E 3","text-tag_textTag__mQeO_"
"https://www.yad2.co.il/realestate/item/5suc5oj8?opened-from=feed&component-type=main_feed&spot=standard&location=32","https://img.yad2.co.il/Pic/202410/30/2_5/o/y2_1pa_010339_20241030213849.jpeg?w=3840&h=3840&c=9","ישראל","ישראל","2,800,000 ₪","אוהלי יעקב","דירה, נווה עופר, תל כביר, תל אביב יפו","3 חדרים • קומה ‎6‏ • 74 מ״ר","המודעה נשמרה","חניה","מטבח גדול","בהזדמנות",""
"https://www.yad2.co.il/realestate/item/nr6x44cn?opened-from=feed&component-type=main_feed&spot=standard&location=33","https://img.yad2.co.il/Pic/202407/03/2_5/o/y2_1pa_010970_20240703122003.jpeg?w=3840&h=3840&c=9","שרה אסולין","שרה אסולין","2,250,000 ₪","דירה","דירה, תל אביב יפו","3 חדרים • קומה ‎3‏ • 75 מ״ר","המודעה נשמרה","ייחודי","חבל לפספס","בהזדמנות",""
"https://www.yad2.co.il/realestate/item/nbyrwksq?opened-from=feed&component-type=main_feed&spot=standard&location=34","https://img.yad2.co.il/Pic/202407/26/2_5/o/y2_1_7czgSV9CgC_20240726.jpg?w=3840&h=3840&c=9","פיקי מור","פיקי מור","4,800,000 ₪","שלמה בן יוסף","דירה, רמת אביב ג', תל אביב יפו","3 חדרים • קומה ‎3‏ • 118 מ״ר","המודעה נשמרה","ממ""ד","חניה","קרוב לפארק","ירד ב-400,000 ₪"
"https://www.yad2.co.il/realestate/item/yxjr3vnu?opened-from=feed&component-type=main_feed&spot=standard&location=35","https://img.yad2.co.il/Pic/202410/29/2_5/o/y2_1pa_010231_20241029133041.jpeg?w=3840&h=3840&c=9","אנגלו סכסון ת""א","אנגלו סכסון ת""א","2,600,000 ₪","אייגר","דירה, נווה שאנן, תל אביב יפו","3 חדרים • קומה ‎1‏ • 65 מ״ר","המודעה נשמרה","ממ""ד","חניה","נכס חדש","בלעדי"
"https://www.yad2.co.il/realestate/item/4u04wy4w?opened-from=feed&component-type=main_feed&spot=standard&location=36","https://img.yad2.co.il/Pic/202404/24/2_5/o/y2_1_eiazSXqxg7_20240424.jpeg?w=3840&h=3840&c=9","חיבורים","חיבורים","4,500,000 ₪","הס","דירה, תל אביב יפו","3 חדרים • קומה ‎2‏ • 77 מ״ר","המודעה נשמרה","חניה","קרוב לים","בניין משופץ",""
"https://www.yad2.co.il/realestate/item/3d9lj37a?opened-from=feed&component-type=main_feed&spot=standard&location=37","https://img.yad2.co.il/Pic/202408/04/2_5/o/y2_2_aDZYS7fZY9_20240804.jpg?w=3840&h=3840&c=9","Shelsky שיווק נדל""ן","Shelsky שיווק נדל""ן","6,500,000 ₪","נחמני","גג/ פנטהאוז, לב תל אביב, לב העיר צפון, תל אביב יפו","3 חדרים • קומה ‎3‏ • 104 מ״ר","המודעה נשמרה","ממ""ד","נכס חדש","בניין משופץ","בלעדי"
"","","","","","","","","","","","",""
"https://www.yad2.co.il/realestate/item/0t5kexdd?opened-from=feed&component-type=main_feed&spot=standard&location=38","https://img.yad2.co.il/Pic/202406/09/2_5/o/y2_1pa_010882_20240609125546.jpeg?w=3840&h=3840&c=9","נכסי תל אביב","נכסי תל אביב","3,820,000 ₪","פומבדיתא 26","דירה, תל אביב יפו","3 חדרים • קומה ‎3‏ • 73 מ״ר","המודעה נשמרה","ייחודי","חבל לפספס","בהזדמנות",""
"https://www.yad2.co.il/realestate/item/wp07umd8?opened-from=feed&component-type=main_feed&spot=standard&location=39","https://img.yad2.co.il/Pic/202409/07/2_5/o/y2_8_IE97YacpS__20240907.jpg?w=3840&h=3840&c=9","מרכז הנדלן בת-ים","מרכז הנדלן בת-ים","2,390,000 ₪","שקד 15","דירה, נווה עופר, תל כביר, תל אביב יפו","3 חדרים • קומה ‎3‏ • 70 מ״ר","המודעה נשמרה","חניה","בניין משופץ","גמיש במחיר","בלעדי"
"https://www.yad2.co.il/realestate/item/qo4sjyf0?opened-from=feed&component-type=main_feed&spot=standard&location=40","https://img.yad2.co.il/Pic/202410/07/2_5/o/y2_1pa_010281_20241007105038.jpeg?w=3840&h=3840&c=9","Gravitas","Gravitas","2,150,000 ₪","דירה","דירה, תל אביב יפו","3 חדרים • קומה ‎3‏ • 57 מ״ר","המודעה נשמרה","בניין משופץ","גמיש במחיר","בהזדמנות",""
